TestSet,Experiment,Kind,Family,Members,Weights,Mode,Fusion,Feature,PTM,Duration,EER (%),MinDCF,Used Pairs,Missing Pairs,BankAlias,ResolvedMembers
full_length,ENS_representation_hc_train_vi_full_hc_hubert__mfbe_pitch__a70,ensemble,representation_hc,train_vi_full__hubert__mfbe_only | train_vi_full__hubert__pitch_only,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,5.599524024198567,0.6433018990843933,9895,0,,Mode3_film_train_vi_full_hubert_mfbe_only | Mode3_film_train_vi_full_hubert_pitch_only
full_length,ENS_representation_hc_train_vi_full_hc_wav2vec2__mfbe_pitch_mfcc_mfbe__eq,ensemble,representation_hc,train_vi_full__wav2vec2__mfbe_pitch | train_vi_full__wav2vec2__mfcc_only | train_vi_full__wav2vec2__mfbe_only,"0.3333,0.3333,0.3333",ensemble,ensemble,ensemble,ensemble,multi,5.599524024198567,0.6638665959321971,9895,0,,Mode3_film_train_vi_full_wav2vec2_mfbe_pitch | Mode3_film_train_vi_full_wav2vec2_mfcc_only | Mode3_film_train_vi_full_wav2vec2_mfbe_only
full_length,ENS_representation_ptm_train_vi_3s_ptm_mfbe_only__wav2vec2_hubert__a60,ensemble,representation_ptm,train_vi_3s__wav2vec2__mfbe_only | train_vi_3s__hubert__mfbe_only,"0.6000,0.4000",ensemble,ensemble,ensemble,ensemble,multi,5.599524024198567,0.6989464032718757,9895,0,,Mode3_film_train_vi_3s_wav2vec2_mfbe_only | Mode3_film_train_vi_3s_hubert_mfbe_only
full_length,ENS_representation_hc_train_raw_hc_hubert__mfcc_pitch_mfcc_mfbe_pitch__eq,ensemble,representation_hc,train_raw__hubert__mfcc_pitch | train_raw__hubert__mfcc_only | train_raw__hubert__mfbe_only | train_raw__hubert__pitch_only,"0.2500,0.2500,0.2500,0.2500",ensemble,ensemble,ensemble,ensemble,multi,5.6062363345758,0.6091916171969951,9895,0,,Mode3_film_train_raw_hubert_mfcc_pitch | Mode3_film_train_raw_hubert_mfcc_only | Mode3_film_train_raw_hubert_mfbe_only | Mode3_film_train_raw_hubert_pitch_only
full_length,ENS_representation_hc_train_vi_full_hc_wavlm__mfcc_pitch_mfbe_pitch_mfcc_mfbe__a45,ensemble,representation_hc,train_vi_full__wavlm__mfcc_pitch | train_vi_full__wavlm__mfbe_pitch | train_vi_full__wavlm__mfcc_only | train_vi_full__wavlm__mfbe_only,"0.4500,0.2500,0.1500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,5.6062363345758,0.6170464473217555,9895,0,,Mode3_film_train_vi_full_wavlm_mfcc_pitch | Mode3_film_train_vi_full_wavlm_mfbe_pitch | Mode3_film_train_vi_full_wavlm_mfcc_only | Mode3_film_train_vi_full_wavlm_mfbe_only
full_length,Mode3_film_train_vi_full_wav2vec2_mfcc_pitch_bdrop0p1,single,single,Mode3_film_train_vi_full_wav2vec2_mfcc_pitch_bdrop0p1,1.0,3,film,mfcc_pitch,wav2vec2,train_vi_full,5.6062363345758,0.6345465326663403,9895,0,train_vi_full__wav2vec2__mfcc_pitch,
full_length,ENS_representation_ptm_train_vi_full_ptm_mfcc_pitch__wavlm_hubert__eq,ensemble,representation_ptm,train_vi_full__wavlm__mfcc_pitch | train_vi_full__hubert__mfcc_pitch,"0.5000,0.5000",ensemble,ensemble,ensemble,ensemble,multi,5.6062363345758,0.6379509857546453,9895,0,,Mode3_film_train_vi_full_wavlm_mfcc_pitch | Mode3_film_train_vi_full_hubert_mfcc_pitch
full_length,ENS_representation_hc_train_raw_hc_hubert__mfcc_pitch_mfbe_pitch__a60,ensemble,representation_hc,train_raw__hubert__mfcc_pitch | train_raw__hubert__mfbe_only | train_raw__hubert__pitch_only,"0.6000,0.2500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,5.633390182156624,0.5930337743919482,9895,0,,Mode3_film_train_raw_hubert_mfcc_pitch | Mode3_film_train_raw_hubert_mfbe_only | Mode3_film_train_raw_hubert_pitch_only
full_length,ENS_representation_hc_train_vi_3s_hc_wav2vec2__mfcc_pitch_mfbe_pitch_mfcc_pitch__a45,ensemble,representation_hc,train_vi_3s__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfbe_pitch | train_vi_3s__wav2vec2__mfcc_only | train_vi_3s__wav2vec2__pitch_only,"0.4500,0.2500,0.1500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,5.633390182156624,0.6144415988931872,9895,0,,Mode3_film_train_vi_3s_wav2vec2_mfcc_pitch | Mode3_film_train_vi_3s_wav2vec2_mfbe_pitch | Mode3_film_train_vi_3s_wav2vec2_mfcc_only | Mode3_film_train_vi_3s_wav2vec2_pitch_only
full_length,ENS_representation_hc_train_vi_full_hc_wav2vec2__mfcc_pitch_mfbe_pitch__a70,ensemble,representation_hc,train_vi_full__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfbe_pitch,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,5.633390182156624,0.6798980409383966,9895,0,,Mode3_film_train_vi_full_wav2vec2_mfcc_pitch_bdrop0p1 | Mode3_film_train_vi_full_wav2vec2_mfbe_pitch
